,interacted_at;DATA;;;;;;VENDAS TOTAIS;Compras e offers;REWARDS
121658;09/01/2019;15:46:00;1;;;;;;
122760;09/01/2019;15:47:00;1;;;;;;
123357;09/01/2019;15:47:00;1;;;;;;
122705;09/01/2019;15:48:00;1;;;;;;
123572;09/01/2019;15:54:00;1;;;;;;
123575;09/01/2019;16:02:00;1;;;;;;
123577;09/01/2019;16:05:00;1;;;;;;
123473;09/01/2019;16:05:00;1;;;;;;
122511;09/01/2019;16:13:00;1;;;;;;
122522;09/01/2019;16:14:00;1;;;;;;
122770;09/01/2019;16:16:00;1;;;;;;
123489;09/01/2019;16:18:00;1;;;;;;
123582;09/01/2019;16:19:00;1;;;;;;
122774;09/01/2019;16:24:00;1;;;;;;
122775;09/01/2019;16:26:00;1;;;;;;
123475;09/01/2019;16:27:00;1;;;;;;
